Strategy,Entry,Exit,PnL,Type
LiquidityHunter2026,5289.46,5274.46,0.09696988799999998,short
LiquidityHunter2026,5268.51,5273.51,-0.082951272,short
LiquidityHunter2026,5273.35,5258.35,0.09708587999999999,short
LiquidityHunter2026,5259.59,5264.59,-0.082887048,short
LiquidityHunter2026,5263.94,5248.94,0.09715363199999999,short
LiquidityHunter2026,5227.16,5212.16,0.09741844799999999,short
LiquidityHunter2026,5202.63,5207.63,-0.082476936,short
LiquidityHunter2026,5189.57,5194.57,-0.08238290399999999,short
LiquidityHunter2026,5203.91,5188.91,0.09758584799999999,short
LiquidityHunter2026,5175.01,5160.01,0.09779392799999997,short
LiquidityHunter2026,5153.0,5158.0,-0.0821196,short
LiquidityHunter2026,5151.49,5136.49,0.09796327199999999,short
LiquidityHunter2026,5109.88,5114.88,-0.081809136,short
LiquidityHunter2026,5144.48,5149.48,-0.082058256,short
LiquidityHunter2026,5201.55,5206.55,-0.08246916,short
LiquidityHunter2026,5215.66,5220.66,-0.082570752,short
LiquidityHunter2026,5233.55,5228.55,-0.08266356,long
LiquidityHunter2026,5214.86,5199.86,0.09750700799999998,short
LiquidityHunter2026,5190.51,5195.51,-0.082389672,short
LiquidityHunter2026,5172.21,5177.21,-0.082257912,short
LiquidityHunter2026,5180.94,5185.94,-0.08232076799999999,short
LiquidityHunter2026,5183.64,5168.64,0.09773179199999998,short
LiquidityHunter2026,5157.46,5162.46,-0.082151712,short
LiquidityHunter2026,5155.0,5160.0,-0.082134,short
LiquidityHunter2026,5167.9,5152.9,0.09784511999999998,short
LiquidityHunter2026,5152.35,5157.35,-0.08211492,short
LiquidityHunter2026,5137.16,5142.16,-0.082005552,short
LiquidityHunter2026,5129.8,5134.8,-0.08195256,short
LiquidityHunter2026,5107.42,5092.42,0.09828057599999998,short
LiquidityHunter2026,5089.45,5074.45,0.09840995999999999,short
LiquidityHunter2026,5081.16,5086.16,-0.081602352,short
LiquidityHunter2026,5053.61,5058.61,-0.081403992,short
LiquidityHunter2026,5046.01,5051.01,-0.081349272,short
LiquidityHunter2026,5075.31,5080.31,-0.081560232,short
LiquidityHunter2026,5068.54,5073.54,-0.08151148799999999,short
LiquidityHunter2026,5034.91,5039.91,-0.081269352,short
LiquidityHunter2026,5131.7,5126.7,-0.08193024,long
LiquidityHunter2026,5118.85,5123.85,-0.08187372,short
LiquidityHunter2026,5139.43,5134.43,-0.081985896,long
LiquidityHunter2026,5143.33,5138.33,-0.082013976,long
LiquidityHunter2026,5127.54,5112.54,0.09813571199999999,short
LiquidityHunter2026,5112.94,5117.94,-0.081831168,short
LiquidityHunter2026,5118.31,5103.31,0.09820216799999998,short
LiquidityHunter2026,5102.25,5087.25,0.09831779999999998,short
LiquidityHunter2026,5095.45,5100.45,-0.08170524,short
LiquidityHunter2026,5114.56,5129.56,0.09812116799999998,long
LiquidityHunter2026,5127.26,5142.26,0.09802972799999998,long
LiquidityHunter2026,5145.0,5160.0,0.09790199999999999,long
LiquidityHunter2026,5128.88,5123.88,-0.081909936,long
LiquidityHunter2026,5117.13,5122.13,-0.081861336,short
LiquidityHunter2026,5125.15,5140.15,0.09804491999999998,long
LiquidityHunter2026,5140.51,5135.51,-0.081993672,long
LiquidityHunter2026,5125.45,5130.45,-0.08192123999999999,short
LiquidityHunter2026,5139.75,5134.75,-0.0819882,long
LiquidityHunter2026,5136.34,5131.34,-0.081963648,long
LiquidityHunter2026,5137.44,5132.44,-0.081971568,long
LiquidityHunter2026,5128.59,5133.59,-0.081943848,short
LiquidityHunter2026,5131.73,5126.73,-0.081930456,long
LiquidityHunter2026,5126.5,5111.5,0.09814319999999999,short
LiquidityHunter2026,5106.9,5111.9,-0.08178768,short
LiquidityHunter2026,5117.86,5102.86,0.09820540799999998,short
LiquidityHunter2026,5102.86,5107.86,-0.08175859199999999,short
LiquidityHunter2026,5104.89,5109.89,-0.081773208,short
LiquidityHunter2026,5107.3,5112.3,-0.08179056,short
LiquidityHunter2026,5112.35,5117.35,-0.08182692,short
LiquidityHunter2026,5118.71,5133.71,0.09809128799999998,long
LiquidityHunter2026,5139.69,5134.69,-0.08198776799999999,long
