ID,GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL
HFT_TITAN_026,1.4,321,32.1,-100.0
HFT_TITAN_140,7.1,321,32.1,-100.0
HFT_TITAN_064,3.3,320,32.0,-100.0
HFT_TITAN_106,5.4,319,31.9,-100.0
HFT_TITAN_151,7.65,317,31.7,-100.0
HFT_TITAN_191,9.65,315,31.5,-100.0
HFT_TITAN_003,0.25,313,31.3,-100.0
HFT_TITAN_092,4.7,312,31.2,-100.0
HFT_TITAN_012,0.7,312,31.2,-100.0
HFT_TITAN_061,3.15,311,31.1,-100.0
HFT_TITAN_175,8.85,310,31.0,-100.0
HFT_TITAN_036,1.9,310,31.0,-100.0
HFT_TITAN_097,4.95,310,31.0,-100.0
HFT_TITAN_159,8.05,308,30.8,-100.0
HFT_TITAN_004,0.3,307,30.7,-100.0
HFT_TITAN_015,0.85,301,30.1,-100.0
HFT_TITAN_000,0.1,299,29.9,-100.0
HFT_TITAN_078,4.0,295,29.5,-100.0
HFT_TITAN_138,7.0,294,29.4,-100.0
HFT_TITAN_142,7.2,294,29.4,-100.0
HFT_TITAN_137,6.95,293,29.3,-100.0
HFT_TITAN_035,1.85,287,28.7,-100.0
HFT_TITAN_021,1.15,274,27.4,-100.0
HFT_TITAN_145,7.35,252,25.2,-100.0
