type,entry,exit,profit
LONG,5362.94,5366.46,0.011372418481829199
LONG,5366.7,5375.7,0.028847761522074092
LONG,5377.01,5375.3,-0.005710268199205854
LONG,5380.89,5379.9,-0.0031188674561034705
LONG,5378.05,5378.45,0.0011987782139847869
LONG,5379.87,5377.91,-0.00565897331089333
LONG,5374.83,5373.94,-0.002422292324520316
LONG,5371.22,5368.65,-0.006661460406503236
LONG,5368.44,5376.7,0.020051551186247976
LONG,5372.84,5371.75,-0.0027414203598196815
LONG,5370.66,5367.21,-0.008245188186117055
LONG,5368.45,5368.47,4.4368679982646246e-05
LONG,5371.52,5365.14,-0.013582332757145243
LONG,5366.45,5362.71,-0.007177315168184476
LONG,5352.1,5339.61,-0.022234284039626205
LONG,5334.2,5325.76,-0.01271231987439525
LONG,5318.7,5322.05,0.004457547645193433
LONG,5325.7,5319.6,-0.008036996934468266
LONG,5319.88,5326.79,0.008227426073798807
LONG,5327.79,5328.5,0.0008651444231031305
LONG,5329.06,5339.76,0.012600405082125966
LONG,5345.3,5340.35,-0.006162186444114769
LONG,5340.54,5329.5,-0.012568380531776125
LONG,5322.02,5317.8,-0.004129605712027645
LONG,5313.88,5306.4,-0.006746983246882569
LONG,5311.45,5308.82,-0.002111311841112979
LONG,5282.69,5274.74,-0.006001243038257534
LONG,5275.39,5274.01,-0.0009229147939106031
LONG,5277.77,5283.55,0.003658689413656503
LONG,5296.44,5287.39,-0.005792496593355181
LONG,5286.45,5281.44,-0.0028096363350731774
LONG,5273.35,5268.33,-0.002575562395436929
LONG,5261.55,5249.81,-0.005507907004701537
LONG,5211.3,5223.84,0.005039412018544803
LONG,5220.94,5203.91,-0.007379477257217351
LONG,5173.12,5144.13,-0.010102463135022166
LONG,5170.65,5175.77,0.001213296650845031
LONG,5181.86,5207.4,0.006096486204843338
LONG,5211.27,5211.81,0.00015461925739051788
LONG,5219.06,5213.02,-0.0016667325389419505
LONG,5215.06,5203.84,-0.0027952154357926843
LONG,5180.94,5187.17,0.0013316695281937656
LONG,5198.3,5183.3,-0.0032597907256904676
LONG,5162.7,5162.25,-8.031689431513362e-05
LONG,5160.98,5169.98,0.001535592449866236
LONG,5161.5,5133.34,-0.0050307705823211925
LONG,5130.0,5107.42,-0.0027887241515332263
LONG,5084.8,5087.26,0.00022677464756233343
LONG,5085.54,5081.12,-0.000400952594709143
LONG,5073.51,5068.54,-0.000414190873488853
LONG,5067.7,5077.04,0.0007099164772435822
LONG,5097.85,5118.85,0.0016694249356704318
LONG,5127.55,5129.7,0.00019811601943285997
LONG,5142.49,5128.9,-0.0012248613110915016
LONG,5125.79,5123.57,-0.00016617480317439662
LONG,5111.49,5112.2,5.000832225603862e-05
LONG,5103.86,5095.45,-0.0005736265972418553
LONG,5095.94,5113.69,0.0010641234760912657
LONG,5119.19,5144.94,0.0017427734612872408
LONG,5153.1,5147.46,-0.00045937198002928416
LONG,5130.0,5121.65,-0.0006184340883020208
LONG,5125.15,5137.94,0.0008330504094682848
LONG,5137.21,5131.94,-0.00037145912774004004
LONG,5134.15,5129.41,-0.00030377488575544537
LONG,5137.77,5139.21,8.427341492641752e-05
LONG,5111.27,5118.85,0.0004343159513521121
LONG,5115.01,5107.87,-0.0004227544107197599
LONG,5110.41,5103.33,-0.00037349994974055243
LONG,5108.18,5114.34,0.000289574251668159
LONG,5117.79,5118.83,4.978654439142948e-05
LONG,5119.84,5122.27,0.0001128113561238308
LONG,5128.43,5145.14,0.0007618460371140761
LONG,5148.78,5145.93,-0.00014532406463993114
LONG,5146.8,5137.54,-0.0004403846768767244
LONG,5144.8,5142.25,-0.00010554849393305678
LONG,5139.95,5132.24,-0.00029873351771726465
LONG,5132.66,5136.03,0.00011571883799943595
LONG,5144.63,5138.7,-0.0002016907165585035
LONG,5147.99,5143.85,-0.00012697556687931517
LONG,5160.06,5165.0,0.00013903074907614183
LONG,5173.85,5166.99,-0.00019406365517395227
