ID,GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL,EQUITY
TITAN_HFT_024,1.2500000000000002,19,1.4,-100.0,0
TITAN_HFT_049,2.5,19,1.4,-100.0,0
TITAN_HFT_023,1.2000000000000002,19,1.4,-100.0,0
TITAN_HFT_002,0.15000000000000002,19,1.4,-100.0,0
TITAN_HFT_003,0.2,19,1.4,-100.0,0
TITAN_HFT_004,0.25,19,1.4,-100.0,0
TITAN_HFT_005,0.3,19,1.4,-100.0,0
TITAN_HFT_006,0.35000000000000003,19,1.4,-100.0,0
TITAN_HFT_007,0.4,19,1.4,-100.0,0
TITAN_HFT_008,0.45,19,1.4,-100.0,0
TITAN_HFT_009,0.5,19,1.4,-100.0,0
TITAN_HFT_010,0.55,19,1.4,-100.0,0
TITAN_HFT_011,0.6000000000000001,19,1.4,-100.0,0
TITAN_HFT_012,0.6500000000000001,19,1.4,-100.0,0
TITAN_HFT_013,0.7000000000000001,19,1.4,-100.0,0
TITAN_HFT_014,0.7500000000000001,19,1.4,-100.0,0
TITAN_HFT_015,0.8,19,1.4,-100.0,0
TITAN_HFT_016,0.8500000000000001,19,1.4,-100.0,0
TITAN_HFT_017,0.9000000000000001,19,1.4,-100.0,0
TITAN_HFT_018,0.9500000000000001,19,1.4,-100.0,0
TITAN_HFT_019,1.0,19,1.4,-100.0,0
TITAN_HFT_020,1.05,19,1.4,-100.0,0
TITAN_HFT_021,1.1,19,1.4,-100.0,0
TITAN_HFT_022,1.1500000000000001,19,1.4,-100.0,0
TITAN_HFT_048,2.45,19,1.4,-100.0,0
TITAN_HFT_050,2.55,19,1.4,-100.0,0
TITAN_HFT_098,4.95,19,1.4,-100.0,0
TITAN_HFT_075,3.8,19,1.4,-100.0,0
TITAN_HFT_077,3.9,19,1.4,-100.0,0
TITAN_HFT_078,3.95,19,1.4,-100.0,0
TITAN_HFT_079,4.0,19,1.4,-100.0,0
TITAN_HFT_080,4.05,19,1.4,-100.0,0
TITAN_HFT_081,4.1,19,1.4,-100.0,0
TITAN_HFT_082,4.15,19,1.4,-100.0,0
TITAN_HFT_083,4.2,19,1.4,-100.0,0
TITAN_HFT_084,4.25,19,1.4,-100.0,0
TITAN_HFT_085,4.3,19,1.4,-100.0,0
TITAN_HFT_086,4.35,19,1.4,-100.0,0
TITAN_HFT_087,4.4,19,1.4,-100.0,0
TITAN_HFT_088,4.45,19,1.4,-100.0,0
TITAN_HFT_089,4.5,19,1.4,-100.0,0
TITAN_HFT_090,4.55,19,1.4,-100.0,0
TITAN_HFT_091,4.6,19,1.4,-100.0,0
TITAN_HFT_092,4.65,19,1.4,-100.0,0
TITAN_HFT_093,4.7,19,1.4,-100.0,0
TITAN_HFT_094,4.75,19,1.4,-100.0,0
TITAN_HFT_095,4.8,19,1.4,-100.0,0
TITAN_HFT_096,4.8500000000000005,19,1.4,-100.0,0
TITAN_HFT_097,4.9,19,1.4,-100.0,0
TITAN_HFT_076,3.85,19,1.4,-100.0,0
TITAN_HFT_074,3.75,19,1.4,-100.0,0
TITAN_HFT_051,2.6,19,1.4,-100.0,0
TITAN_HFT_073,3.7,19,1.4,-100.0,0
TITAN_HFT_052,2.65,19,1.4,-100.0,0
TITAN_HFT_053,2.7,19,1.4,-100.0,0
TITAN_HFT_054,2.75,19,1.4,-100.0,0
TITAN_HFT_055,2.8,19,1.4,-100.0,0
TITAN_HFT_056,2.85,19,1.4,-100.0,0
TITAN_HFT_057,2.9,19,1.4,-100.0,0
TITAN_HFT_058,2.95,19,1.4,-100.0,0
